Disease,Gene,Drug,SMILES,SideEffect,TargetClass,Pathway,ApprovedForDisease
COVID-19,Gene54,Molnupiravir,SMILES260,SideEffect46,TargetClass3,Pathway10,1
COVID-19,Gene97,Remdesivir,SMILES234,SideEffect31,TargetClass2,Pathway3,1
COVID-19,Gene12,Molnupiravir,SMILES226,SideEffect12,TargetClass12,Pathway8,1
Depression,Gene59,Sertraline,SMILES49,SideEffect6,TargetClass19,Pathway4,1
COVID-19,Gene80,Molnupiravir,SMILES113,SideEffect23,TargetClass19,Pathway1,1
COVID-19,Gene32,Glipizide,SMILES377,SideEffect26,TargetClass16,Pathway1,0
Depression,Gene36,Fluoxetine,SMILES170,SideEffect20,TargetClass10,Pathway8,1
Parkinson's disease,Gene31,Levodopa,SMILES75,SideEffect28,TargetClass16,Pathway8,1
Type 2 Diabetes,Gene52,Glipizide,SMILES5,SideEffect2,TargetClass5,Pathway3,1
Alzheimer's disease,Gene60,Levodopa,SMILES20,SideEffect35,TargetClass12,Pathway7,0
Depression,Gene38,Fluoxetine,SMILES1,SideEffect48,TargetClass18,Pathway3,1
Breast Cancer,Gene85,Tamoxifen,SMILES386,SideEffect6,TargetClass8,Pathway1,1
Type 2 Diabetes,Gene2,Glipizide,SMILES175,SideEffect44,TargetClass7,Pathway4,1
Lung Cancer,Gene44,Levodopa,SMILES207,SideEffect41,TargetClass5,Pathway6,0
Type 2 Diabetes,Gene30,Glipizide,SMILES128,SideEffect14,TargetClass5,Pathway7,1
Depression,Gene87,Levodopa,SMILES424,SideEffect21,TargetClass13,Pathway8,0
Alzheimer's disease,Gene23,Memantine,SMILES244,SideEffect30,TargetClass14,Pathway6,1
Parkinson's disease,Gene19,Levodopa,SMILES47,SideEffect49,TargetClass6,Pathway11,1
Type 2 Diabetes,Gene8,Glipizide,SMILES268,SideEffect40,TargetClass16,Pathway1,1
Parkinson's disease,Gene9,Trastuzumab,SMILES455,SideEffect28,TargetClass14,Pathway4,0
Lung Cancer,Gene19,Glipizide,SMILES249,SideEffect16,TargetClass11,Pathway10,0
Depression,Gene15,Fluoxetine,SMILES431,SideEffect9,TargetClass14,Pathway5,1
Alzheimer's disease,Gene76,Donepezil,SMILES72,SideEffect8,TargetClass13,Pathway12,1
Alzheimer's disease,Gene72,Memantine,SMILES197,SideEffect5,TargetClass5,Pathway11,1
Breast Cancer,Gene65,Tamoxifen,SMILES271,SideEffect19,TargetClass10,Pathway9,1
Type 2 Diabetes,Gene65,Glipizide,SMILES365,SideEffect16,TargetClass2,Pathway9,1
COVID-19,Gene22,Remdesivir,SMILES256,SideEffect41,TargetClass7,Pathway7,1
Type 2 Diabetes,Gene29,Metformin,SMILES98,SideEffect18,TargetClass2,Pathway9,1
Lung Cancer,Gene45,Erlotinib,SMILES381,SideEffect26,TargetClass14,Pathway7,1
Type 2 Diabetes,Gene44,Tamoxifen,SMILES305,SideEffect40,TargetClass11,Pathway13,0
Parkinson's disease,Gene12,Carbidopa,SMILES427,SideEffect37,TargetClass14,Pathway5,1
Parkinson's disease,Gene19,Levodopa,SMILES441,SideEffect21,TargetClass1,Pathway7,1
Type 2 Diabetes,Gene77,Metformin,SMILES231,SideEffect5,TargetClass10,Pathway10,1
Depression,Gene50,Fluoxetine,SMILES4,SideEffect20,TargetClass4,Pathway9,1
Depression,Gene20,Fluoxetine,SMILES298,SideEffect21,TargetClass2,Pathway6,1
Parkinson's disease,Gene21,Metformin,SMILES142,SideEffect34,TargetClass15,Pathway5,0
Depression,Gene39,Sertraline,SMILES47,SideEffect30,TargetClass11,Pathway6,1
COVID-19,Gene31,Molnupiravir,SMILES87,SideEffect40,TargetClass1,Pathway9,1
Breast Cancer,Gene3,Tamoxifen,SMILES126,SideEffect8,TargetClass6,Pathway4,1
Type 2 Diabetes,Gene16,Glipizide,SMILES12,SideEffect11,TargetClass19,Pathway1,1
Breast Cancer,Gene68,Trastuzumab,SMILES369,SideEffect32,TargetClass6,Pathway11,1
Type 2 Diabetes,Gene12,Tamoxifen,SMILES304,SideEffect12,TargetClass10,Pathway13,0
Parkinson's disease,Gene92,Levodopa,SMILES61,SideEffect15,TargetClass19,Pathway11,1
Alzheimer's disease,Gene32,Memantine,SMILES265,SideEffect3,TargetClass11,Pathway12,1
Alzheimer's disease,Gene57,Erlotinib,SMILES361,SideEffect32,TargetClass5,Pathway12,0
Parkinson's disease,Gene42,Carbidopa,SMILES64,SideEffect44,TargetClass19,Pathway5,1
Breast Cancer,Gene70,Trastuzumab,SMILES244,SideEffect6,TargetClass5,Pathway11,1
Parkinson's disease,Gene95,Levodopa,SMILES389,SideEffect44,TargetClass3,Pathway14,1
Alzheimer's disease,Gene2,Donepezil,SMILES94,SideEffect25,TargetClass7,Pathway1,1
COVID-19,Gene24,Molnupiravir,SMILES251,SideEffect3,TargetClass14,Pathway3,1
Alzheimer's disease,Gene97,Fluoxetine,SMILES214,SideEffect44,TargetClass5,Pathway13,0
Breast Cancer,Gene23,Trastuzumab,SMILES79,SideEffect45,TargetClass8,Pathway5,1
Alzheimer's disease,Gene7,Donepezil,SMILES240,SideEffect40,TargetClass18,Pathway5,1
Type 2 Diabetes,Gene31,Glipizide,SMILES303,SideEffect34,TargetClass2,Pathway10,1
Lung Cancer,Gene61,Erlotinib,SMILES331,SideEffect11,TargetClass13,Pathway14,1
Type 2 Diabetes,Gene3,Metformin,SMILES454,SideEffect31,TargetClass11,Pathway5,1
Breast Cancer,Gene63,Trastuzumab,SMILES225,SideEffect44,TargetClass3,Pathway10,1
Alzheimer's disease,Gene98,Memantine,SMILES17,SideEffect33,TargetClass1,Pathway6,1
Breast Cancer,Gene48,Tamoxifen,SMILES274,SideEffect31,TargetClass6,Pathway2,1
COVID-19,Gene26,Trastuzumab,SMILES435,SideEffect45,TargetClass12,Pathway5,0
Lung Cancer,Gene96,Tamoxifen,SMILES202,SideEffect28,TargetClass16,Pathway14,0
Depression,Gene42,Sertraline,SMILES24,SideEffect35,TargetClass13,Pathway7,1
Breast Cancer,Gene94,Trastuzumab,SMILES483,SideEffect25,TargetClass17,Pathway12,1
Lung Cancer,Gene10,Gefitinib,SMILES266,SideEffect35,TargetClass9,Pathway7,1
Lung Cancer,Gene1,Erlotinib,SMILES193,SideEffect22,TargetClass15,Pathway4,1
Type 2 Diabetes,Gene18,Glipizide,SMILES94,SideEffect22,TargetClass1,Pathway14,1
Depression,Gene91,Glipizide,SMILES394,SideEffect30,TargetClass13,Pathway4,0
Depression,Gene52,Sertraline,SMILES258,SideEffect37,TargetClass9,Pathway4,1
Type 2 Diabetes,Gene71,Glipizide,SMILES56,SideEffect32,TargetClass15,Pathway9,1
Alzheimer's disease,Gene68,Memantine,SMILES39,SideEffect8,TargetClass1,Pathway1,1
Depression,Gene52,Trastuzumab,SMILES401,SideEffect14,TargetClass13,Pathway14,0
Alzheimer's disease,Gene21,Donepezil,SMILES188,SideEffect13,TargetClass3,Pathway4,1
Depression,Gene19,Donepezil,SMILES106,SideEffect34,TargetClass14,Pathway7,0
Parkinson's disease,Gene61,Remdesivir,SMILES354,SideEffect31,TargetClass10,Pathway13,0
COVID-19,Gene18,Remdesivir,SMILES12,SideEffect27,TargetClass15,Pathway1,1
Alzheimer's disease,Gene28,Memantine,SMILES165,SideEffect23,TargetClass13,Pathway5,1
COVID-19,Gene65,Trastuzumab,SMILES468,SideEffect22,TargetClass16,Pathway7,0
Lung Cancer,Gene73,Erlotinib,SMILES169,SideEffect38,TargetClass10,Pathway6,1
COVID-19,Gene51,Molnupiravir,SMILES405,SideEffect8,TargetClass1,Pathway12,1
Lung Cancer,Gene83,Erlotinib,SMILES266,SideEffect28,TargetClass15,Pathway3,1
Lung Cancer,Gene16,Gefitinib,SMILES467,SideEffect5,TargetClass7,Pathway3,1
Lung Cancer,Gene93,Erlotinib,SMILES158,SideEffect29,TargetClass19,Pathway10,1
Depression,Gene28,Fluoxetine,SMILES151,SideEffect36,TargetClass17,Pathway7,1
Breast Cancer,Gene66,Trastuzumab,SMILES421,SideEffect23,TargetClass19,Pathway3,1
Alzheimer's disease,Gene41,Memantine,SMILES444,SideEffect25,TargetClass4,Pathway5,1
Type 2 Diabetes,Gene77,Metformin,SMILES453,SideEffect30,TargetClass1,Pathway5,1
COVID-19,Gene23,Molnupiravir,SMILES244,SideEffect11,TargetClass19,Pathway2,1
Depression,Gene75,Fluoxetine,SMILES235,SideEffect9,TargetClass11,Pathway5,1
Lung Cancer,Gene21,Erlotinib,SMILES88,SideEffect4,TargetClass12,Pathway6,1
COVID-19,Gene23,Levodopa,SMILES155,SideEffect45,TargetClass5,Pathway6,0
Type 2 Diabetes,Gene48,Metformin,SMILES236,SideEffect26,TargetClass5,Pathway8,1
Type 2 Diabetes,Gene93,Glipizide,SMILES212,SideEffect49,TargetClass18,Pathway5,1
Breast Cancer,Gene69,Tamoxifen,SMILES375,SideEffect29,TargetClass9,Pathway1,1
COVID-19,Gene16,Remdesivir,SMILES190,SideEffect33,TargetClass1,Pathway12,1
Lung Cancer,Gene76,Gefitinib,SMILES477,SideEffect46,TargetClass8,Pathway6,1
Lung Cancer,Gene2,Gefitinib,SMILES263,SideEffect32,TargetClass17,Pathway3,1
Type 2 Diabetes,Gene7,Gefitinib,SMILES310,SideEffect1,TargetClass12,Pathway8,0
COVID-19,Gene21,Molnupiravir,SMILES201,SideEffect13,TargetClass9,Pathway10,1
Lung Cancer,Gene15,Gefitinib,SMILES339,SideEffect11,TargetClass4,Pathway2,1
Type 2 Diabetes,Gene24,Metformin,SMILES363,SideEffect18,TargetClass11,Pathway9,1
Depression,Gene88,Fluoxetine,SMILES495,SideEffect22,TargetClass6,Pathway4,1
COVID-19,Gene46,Remdesivir,SMILES451,SideEffect29,TargetClass16,Pathway10,1
COVID-19,Gene49,Remdesivir,SMILES68,SideEffect29,TargetClass15,Pathway1,1
Depression,Gene59,Fluoxetine,SMILES397,SideEffect39,TargetClass8,Pathway6,1
Lung Cancer,Gene65,Sertraline,SMILES277,SideEffect4,TargetClass3,Pathway1,0
COVID-19,Gene49,Remdesivir,SMILES397,SideEffect34,TargetClass13,Pathway6,1
Depression,Gene39,Fluoxetine,SMILES63,SideEffect5,TargetClass10,Pathway9,1
COVID-19,Gene81,Remdesivir,SMILES362,SideEffect5,TargetClass19,Pathway11,1
Parkinson's disease,Gene98,Levodopa,SMILES196,SideEffect4,TargetClass1,Pathway9,1
Type 2 Diabetes,Gene1,Metformin,SMILES72,SideEffect23,TargetClass6,Pathway6,1
Depression,Gene23,Fluoxetine,SMILES111,SideEffect48,TargetClass16,Pathway10,1
COVID-19,Gene38,Glipizide,SMILES383,SideEffect24,TargetClass2,Pathway7,0
Parkinson's disease,Gene2,Glipizide,SMILES438,SideEffect2,TargetClass3,Pathway13,0
Depression,Gene94,Metformin,SMILES255,SideEffect8,TargetClass19,Pathway5,0
Depression,Gene62,Fluoxetine,SMILES74,SideEffect32,TargetClass9,Pathway13,1
Depression,Gene90,Sertraline,SMILES208,SideEffect34,TargetClass1,Pathway8,1
Lung Cancer,Gene98,Gefitinib,SMILES23,SideEffect44,TargetClass9,Pathway10,1
Parkinson's disease,Gene76,Carbidopa,SMILES194,SideEffect43,TargetClass14,Pathway6,1
Depression,Gene82,Sertraline,SMILES76,SideEffect4,TargetClass16,Pathway7,1
Parkinson's disease,Gene77,Carbidopa,SMILES91,SideEffect35,TargetClass13,Pathway13,1
Lung Cancer,Gene25,Erlotinib,SMILES227,SideEffect26,TargetClass13,Pathway3,1
COVID-19,Gene98,Remdesivir,SMILES20,SideEffect36,TargetClass2,Pathway9,1
Alzheimer's disease,Gene15,Donepezil,SMILES458,SideEffect20,TargetClass18,Pathway5,1
Type 2 Diabetes,Gene38,Metformin,SMILES399,SideEffect5,TargetClass19,Pathway6,1
COVID-19,Gene12,Fluoxetine,SMILES221,SideEffect44,TargetClass16,Pathway13,0
COVID-19,Gene51,Carbidopa,SMILES417,SideEffect25,TargetClass18,Pathway14,0
Type 2 Diabetes,Gene91,Glipizide,SMILES481,SideEffect20,TargetClass7,Pathway9,1
Type 2 Diabetes,Gene57,Metformin,SMILES403,SideEffect26,TargetClass4,Pathway4,1
Alzheimer's disease,Gene61,Memantine,SMILES448,SideEffect16,TargetClass1,Pathway6,1
Type 2 Diabetes,Gene56,Molnupiravir,SMILES59,SideEffect32,TargetClass19,Pathway8,0
Alzheimer's disease,Gene90,Glipizide,SMILES201,SideEffect10,TargetClass2,Pathway4,0
Depression,Gene63,Fluoxetine,SMILES488,SideEffect27,TargetClass5,Pathway13,1
Parkinson's disease,Gene27,Levodopa,SMILES358,SideEffect5,TargetClass15,Pathway6,1
Parkinson's disease,Gene62,Carbidopa,SMILES170,SideEffect30,TargetClass6,Pathway14,1
Depression,Gene94,Fluoxetine,SMILES76,SideEffect40,TargetClass5,Pathway8,1
Lung Cancer,Gene59,Gefitinib,SMILES330,SideEffect39,TargetClass15,Pathway7,1
Type 2 Diabetes,Gene84,Metformin,SMILES231,SideEffect8,TargetClass6,Pathway13,1
Alzheimer's disease,Gene35,Donepezil,SMILES36,SideEffect19,TargetClass2,Pathway13,1
Parkinson's disease,Gene31,Sertraline,SMILES161,SideEffect44,TargetClass7,Pathway8,0
Parkinson's disease,Gene6,Carbidopa,SMILES309,SideEffect34,TargetClass10,Pathway2,1
Breast Cancer,Gene8,Trastuzumab,SMILES16,SideEffect8,TargetClass9,Pathway5,1
Breast Cancer,Gene20,Tamoxifen,SMILES241,SideEffect4,TargetClass17,Pathway10,1
Alzheimer's disease,Gene89,Donepezil,SMILES470,SideEffect10,TargetClass19,Pathway8,1
Type 2 Diabetes,Gene74,Glipizide,SMILES376,SideEffect22,TargetClass16,Pathway3,1
Type 2 Diabetes,Gene89,Gefitinib,SMILES313,SideEffect38,TargetClass13,Pathway4,0
Type 2 Diabetes,Gene21,Metformin,SMILES479,SideEffect15,TargetClass13,Pathway1,1
Parkinson's disease,Gene41,Carbidopa,SMILES424,SideEffect11,TargetClass1,Pathway14,1
Type 2 Diabetes,Gene38,Fluoxetine,SMILES136,SideEffect8,TargetClass7,Pathway4,0
Breast Cancer,Gene31,Metformin,SMILES317,SideEffect37,TargetClass9,Pathway9,0
Breast Cancer,Gene76,Trastuzumab,SMILES349,SideEffect3,TargetClass9,Pathway14,1
COVID-19,Gene20,Remdesivir,SMILES284,SideEffect21,TargetClass11,Pathway13,1
Lung Cancer,Gene10,Trastuzumab,SMILES15,SideEffect45,TargetClass13,Pathway5,0
Lung Cancer,Gene84,Erlotinib,SMILES58,SideEffect38,TargetClass6,Pathway14,1
Parkinson's disease,Gene71,Metformin,SMILES305,SideEffect26,TargetClass16,Pathway7,0
Breast Cancer,Gene24,Trastuzumab,SMILES80,SideEffect30,TargetClass3,Pathway13,1
Type 2 Diabetes,Gene21,Glipizide,SMILES385,SideEffect27,TargetClass19,Pathway11,1
Alzheimer's disease,Gene95,Donepezil,SMILES140,SideEffect42,TargetClass5,Pathway12,1
Alzheimer's disease,Gene88,Trastuzumab,SMILES348,SideEffect39,TargetClass10,Pathway1,0
Breast Cancer,Gene1,Tamoxifen,SMILES232,SideEffect22,TargetClass16,Pathway14,1
Depression,Gene69,Fluoxetine,SMILES295,SideEffect32,TargetClass17,Pathway12,1
Parkinson's disease,Gene84,Gefitinib,SMILES111,SideEffect45,TargetClass12,Pathway8,0
Parkinson's disease,Gene17,Carbidopa,SMILES355,SideEffect36,TargetClass8,Pathway13,1
Lung Cancer,Gene3,Erlotinib,SMILES416,SideEffect20,TargetClass10,Pathway13,1
Parkinson's disease,Gene41,Levodopa,SMILES421,SideEffect18,TargetClass9,Pathway13,1
Alzheimer's disease,Gene53,Donepezil,SMILES319,SideEffect48,TargetClass6,Pathway6,1
Lung Cancer,Gene60,Gefitinib,SMILES10,SideEffect45,TargetClass5,Pathway8,1
Depression,Gene60,Fluoxetine,SMILES6,SideEffect5,TargetClass17,Pathway7,1
Depression,Gene54,Fluoxetine,SMILES488,SideEffect23,TargetClass7,Pathway2,1
Breast Cancer,Gene15,Tamoxifen,SMILES108,SideEffect48,TargetClass19,Pathway14,1
Lung Cancer,Gene23,Erlotinib,SMILES72,SideEffect28,TargetClass18,Pathway13,1
Lung Cancer,Gene61,Erlotinib,SMILES351,SideEffect15,TargetClass13,Pathway8,1
Parkinson's disease,Gene16,Levodopa,SMILES227,SideEffect29,TargetClass17,Pathway14,1
Alzheimer's disease,Gene55,Donepezil,SMILES272,SideEffect44,TargetClass17,Pathway9,1
Type 2 Diabetes,Gene45,Metformin,SMILES152,SideEffect3,TargetClass15,Pathway3,1
Alzheimer's disease,Gene69,Memantine,SMILES136,SideEffect32,TargetClass18,Pathway6,1
COVID-19,Gene14,Remdesivir,SMILES148,SideEffect35,TargetClass4,Pathway9,1
Type 2 Diabetes,Gene30,Glipizide,SMILES201,SideEffect46,TargetClass19,Pathway10,1
COVID-19,Gene99,Remdesivir,SMILES306,SideEffect40,TargetClass8,Pathway13,1
Alzheimer's disease,Gene89,Memantine,SMILES340,SideEffect22,TargetClass19,Pathway12,1
Depression,Gene65,Sertraline,SMILES311,SideEffect26,TargetClass11,Pathway10,1
Depression,Gene4,Fluoxetine,SMILES322,SideEffect27,TargetClass1,Pathway9,1
Parkinson's disease,Gene47,Carbidopa,SMILES188,SideEffect35,TargetClass2,Pathway5,1
COVID-19,Gene54,Remdesivir,SMILES437,SideEffect3,TargetClass18,Pathway2,1
Alzheimer's disease,Gene41,Memantine,SMILES489,SideEffect9,TargetClass6,Pathway14,1
Depression,Gene99,Sertraline,SMILES475,SideEffect17,TargetClass11,Pathway6,1
Depression,Gene84,Sertraline,SMILES133,SideEffect10,TargetClass16,Pathway9,1
Lung Cancer,Gene70,Erlotinib,SMILES459,SideEffect46,TargetClass16,Pathway1,1
Alzheimer's disease,Gene85,Memantine,SMILES496,SideEffect29,TargetClass5,Pathway1,1
Depression,Gene22,Erlotinib,SMILES383,SideEffect2,TargetClass16,Pathway5,0
Lung Cancer,Gene80,Gefitinib,SMILES194,SideEffect8,TargetClass13,Pathway14,1
Alzheimer's disease,Gene57,Memantine,SMILES162,SideEffect49,TargetClass18,Pathway13,1
Lung Cancer,Gene30,Gefitinib,SMILES333,SideEffect9,TargetClass10,Pathway14,1
Parkinson's disease,Gene80,Carbidopa,SMILES78,SideEffect41,TargetClass6,Pathway7,1
COVID-19,Gene44,Remdesivir,SMILES38,SideEffect43,TargetClass2,Pathway2,1
Alzheimer's disease,Gene3,Donepezil,SMILES58,SideEffect3,TargetClass4,Pathway6,1
COVID-19,Gene86,Molnupiravir,SMILES247,SideEffect17,TargetClass11,Pathway3,1
Depression,Gene95,Fluoxetine,SMILES321,SideEffect11,TargetClass13,Pathway2,1
Type 2 Diabetes,Gene94,Metformin,SMILES149,SideEffect48,TargetClass17,Pathway8,1
COVID-19,Gene36,Molnupiravir,SMILES245,SideEffect3,TargetClass15,Pathway11,1
Parkinson's disease,Gene71,Memantine,SMILES399,SideEffect18,TargetClass18,Pathway4,0
Lung Cancer,Gene20,Gefitinib,SMILES240,SideEffect42,TargetClass7,Pathway9,1
Lung Cancer,Gene68,Erlotinib,SMILES30,SideEffect31,TargetClass15,Pathway11,1
COVID-19,Gene26,Remdesivir,SMILES448,SideEffect16,TargetClass9,Pathway7,1
Parkinson's disease,Gene38,Levodopa,SMILES251,SideEffect13,TargetClass11,Pathway7,1
COVID-19,Gene51,Remdesivir,SMILES314,SideEffect49,TargetClass13,Pathway10,1
Parkinson's disease,Gene2,Carbidopa,SMILES241,SideEffect1,TargetClass17,Pathway9,1
Parkinson's disease,Gene17,Carbidopa,SMILES290,SideEffect28,TargetClass4,Pathway2,1
Lung Cancer,Gene71,Gefitinib,SMILES115,SideEffect10,TargetClass11,Pathway6,1
Lung Cancer,Gene24,Gefitinib,SMILES38,SideEffect44,TargetClass7,Pathway10,1
Lung Cancer,Gene69,Tamoxifen,SMILES317,SideEffect2,TargetClass1,Pathway7,0
Type 2 Diabetes,Gene99,Metformin,SMILES362,SideEffect19,TargetClass8,Pathway7,1
Parkinson's disease,Gene38,Levodopa,SMILES203,SideEffect44,TargetClass9,Pathway2,1
Lung Cancer,Gene79,Gefitinib,SMILES295,SideEffect46,TargetClass8,Pathway3,1
Parkinson's disease,Gene39,Levodopa,SMILES467,SideEffect1,TargetClass11,Pathway9,1
Breast Cancer,Gene51,Trastuzumab,SMILES246,SideEffect38,TargetClass14,Pathway5,1
Parkinson's disease,Gene50,Erlotinib,SMILES233,SideEffect14,TargetClass13,Pathway10,0
Depression,Gene93,Sertraline,SMILES52,SideEffect43,TargetClass10,Pathway2,1
Depression,Gene66,Fluoxetine,SMILES86,SideEffect9,TargetClass11,Pathway13,1
Breast Cancer,Gene43,Levodopa,SMILES492,SideEffect4,TargetClass16,Pathway12,0
Parkinson's disease,Gene60,Levodopa,SMILES223,SideEffect36,TargetClass12,Pathway4,1
Parkinson's disease,Gene64,Carbidopa,SMILES171,SideEffect17,TargetClass7,Pathway12,1
Depression,Gene17,Sertraline,SMILES371,SideEffect45,TargetClass17,Pathway7,1
Type 2 Diabetes,Gene9,Glipizide,SMILES386,SideEffect28,TargetClass3,Pathway4,1
COVID-19,Gene12,Remdesivir,SMILES291,SideEffect19,TargetClass5,Pathway14,1
Alzheimer's disease,Gene11,Donepezil,SMILES254,SideEffect20,TargetClass14,Pathway2,1
Lung Cancer,Gene13,Gefitinib,SMILES238,SideEffect12,TargetClass15,Pathway3,1
Depression,Gene45,Sertraline,SMILES436,SideEffect7,TargetClass15,Pathway1,1
Alzheimer's disease,Gene18,Memantine,SMILES282,SideEffect31,TargetClass5,Pathway6,1
Depression,Gene97,Sertraline,SMILES182,SideEffect37,TargetClass9,Pathway2,1
COVID-19,Gene79,Memantine,SMILES153,SideEffect32,TargetClass17,Pathway9,0
Lung Cancer,Gene37,Gefitinib,SMILES334,SideEffect29,TargetClass19,Pathway5,1
Depression,Gene17,Erlotinib,SMILES369,SideEffect34,TargetClass13,Pathway14,0
Breast Cancer,Gene57,Molnupiravir,SMILES371,SideEffect35,TargetClass11,Pathway6,0
Breast Cancer,Gene12,Trastuzumab,SMILES239,SideEffect49,TargetClass10,Pathway6,1
Depression,Gene56,Sertraline,SMILES146,SideEffect47,TargetClass8,Pathway12,1
Lung Cancer,Gene24,Erlotinib,SMILES141,SideEffect21,TargetClass10,Pathway11,1
Breast Cancer,Gene49,Trastuzumab,SMILES291,SideEffect29,TargetClass4,Pathway9,1
Type 2 Diabetes,Gene65,Metformin,SMILES259,SideEffect13,TargetClass12,Pathway1,1
Type 2 Diabetes,Gene82,Metformin,SMILES213,SideEffect48,TargetClass8,Pathway6,1
Breast Cancer,Gene65,Trastuzumab,SMILES460,SideEffect47,TargetClass14,Pathway3,1
Alzheimer's disease,Gene39,Donepezil,SMILES394,SideEffect43,TargetClass10,Pathway8,1
Type 2 Diabetes,Gene86,Metformin,SMILES342,SideEffect10,TargetClass19,Pathway3,1
Depression,Gene31,Fluoxetine,SMILES183,SideEffect10,TargetClass2,Pathway14,1
COVID-19,Gene87,Remdesivir,SMILES58,SideEffect30,TargetClass18,Pathway14,1
Lung Cancer,Gene77,Erlotinib,SMILES32,SideEffect31,TargetClass9,Pathway14,1
Breast Cancer,Gene95,Trastuzumab,SMILES199,SideEffect18,TargetClass8,Pathway11,1
Breast Cancer,Gene20,Trastuzumab,SMILES271,SideEffect29,TargetClass5,Pathway7,1
Parkinson's disease,Gene68,Levodopa,SMILES79,SideEffect41,TargetClass12,Pathway12,1
Alzheimer's disease,Gene55,Donepezil,SMILES411,SideEffect20,TargetClass16,Pathway5,1
COVID-19,Gene5,Molnupiravir,SMILES264,SideEffect5,TargetClass10,Pathway6,1
Type 2 Diabetes,Gene40,Trastuzumab,SMILES54,SideEffect13,TargetClass19,Pathway10,0
Breast Cancer,Gene88,Tamoxifen,SMILES247,SideEffect28,TargetClass10,Pathway5,1
Type 2 Diabetes,Gene92,Glipizide,SMILES357,SideEffect41,TargetClass4,Pathway11,1
COVID-19,Gene5,Molnupiravir,SMILES192,SideEffect27,TargetClass7,Pathway4,1
Breast Cancer,Gene18,Trastuzumab,SMILES482,SideEffect18,TargetClass8,Pathway10,1
Type 2 Diabetes,Gene40,Glipizide,SMILES470,SideEffect18,TargetClass14,Pathway9,1
Parkinson's disease,Gene31,Metformin,SMILES226,SideEffect41,TargetClass7,Pathway10,0
Lung Cancer,Gene68,Gefitinib,SMILES192,SideEffect20,TargetClass14,Pathway12,1
Type 2 Diabetes,Gene33,Glipizide,SMILES285,SideEffect37,TargetClass7,Pathway3,1
COVID-19,Gene5,Molnupiravir,SMILES15,SideEffect41,TargetClass15,Pathway3,1
Type 2 Diabetes,Gene80,Glipizide,SMILES312,SideEffect46,TargetClass6,Pathway6,1
Depression,Gene9,Fluoxetine,SMILES86,SideEffect2,TargetClass19,Pathway12,1
COVID-19,Gene26,Remdesivir,SMILES480,SideEffect9,TargetClass17,Pathway8,1
Type 2 Diabetes,Gene25,Glipizide,SMILES418,SideEffect24,TargetClass6,Pathway12,1
Parkinson's disease,Gene80,Levodopa,SMILES85,SideEffect28,TargetClass8,Pathway13,1
Alzheimer's disease,Gene59,Donepezil,SMILES388,SideEffect39,TargetClass14,Pathway14,1
Breast Cancer,Gene72,Tamoxifen,SMILES140,SideEffect24,TargetClass18,Pathway7,1
COVID-19,Gene5,Memantine,SMILES344,SideEffect8,TargetClass19,Pathway4,0
Parkinson's disease,Gene24,Levodopa,SMILES46,SideEffect27,TargetClass15,Pathway3,1
Breast Cancer,Gene70,Trastuzumab,SMILES319,SideEffect12,TargetClass15,Pathway14,1
Depression,Gene84,Carbidopa,SMILES204,SideEffect33,TargetClass8,Pathway1,0
COVID-19,Gene53,Molnupiravir,SMILES300,SideEffect3,TargetClass18,Pathway11,1
Lung Cancer,Gene54,Carbidopa,SMILES334,SideEffect7,TargetClass14,Pathway7,0
Alzheimer's disease,Gene92,Memantine,SMILES189,SideEffect7,TargetClass4,Pathway12,1
Type 2 Diabetes,Gene74,Metformin,SMILES487,SideEffect47,TargetClass18,Pathway4,1
